minute,kappa_3_usdt_per_min,kappa_1_usdt_per_min,kappa_0.3_usdt_per_min,kappa_0.1_usdt_per_min,kappa_0.03_usdt_per_min
78,42918.280807508076,14306.093602502693,4291.828080750808,1430.6093602502692,429.1828080750808
79,42936.33132379536,14312.11044126512,4293.633132379537,1431.211044126512,429.3633132379536
80,42742.12656941003,14247.375523136676,4274.212656941003,1424.7375523136675,427.42126569410027
81,42903.5546791462,14301.184893048732,4290.35546791462,1430.1184893048733,429.03554679146197
82,43382.8285721014,14460.942857367136,4338.282857210141,1446.0942857367136,433.8282857210141
83,43692.89180545174,14564.297268483913,4369.289180545174,1456.4297268483913,436.9289180545174
84,44373.72057129861,14791.240190432869,4437.372057129861,1479.124019043287,443.7372057129861
85,44575.694773748524,14858.564924582843,4457.569477374853,1485.8564924582843,445.7569477374853
86,44371.74468294901,14790.581560983002,4437.1744682949,1479.0581560983003,443.7174468294901
87,44367.908393105456,14789.30279770182,4436.790839310545,1478.9302797701819,443.67908393105455
88,44185.72857412399,14728.576191374663,4418.572857412399,1472.8576191374664,441.8572857412399
89,44032.83324937558,14677.611083125192,4403.283324937558,1467.7611083125194,440.3283324937558
90,44016.43918618828,14672.146395396096,4401.643918618828,1467.2146395396096,440.16439186188285
91,44135.06278173255,14711.68759391085,4413.506278173255,1471.1687593910851,441.3506278173255
92,43941.776991292536,14647.258997097511,4394.177699129254,1464.7258997097513,439.41776991292534
93,43609.99460605613,14536.664868685377,4360.9994606056125,1453.6664868685375,436.0999460605613
94,43138.79022924142,14379.596743080476,4313.879022924142,1437.9596743080474,431.38790229241425
95,42630.9065981597,14210.302199386568,4263.09065981597,1421.0302199386567,426.30906598159703
96,42720.26311300564,14240.087704335212,4272.026311300564,1424.0087704335212,427.2026311300564
97,42639.51168462587,14213.170561541956,4263.951168462587,1421.3170561541956,426.39511684625865
98,42909.02008389273,14303.006694630909,4290.902008389273,1430.3006694630908,429.0902008389273
99,43090.49561247221,14363.498537490736,4309.0495612472205,1436.3498537490736,430.90495612472205
100,43467.970441487,14489.323480495666,4346.7970441487,1448.9323480495666,434.67970441487
101,43396.56819652994,14465.522732176645,4339.656819652993,1446.5522732176644,433.9656819652993
102,43023.28002349362,14341.093341164542,4302.328002349363,1434.1093341164542,430.23280023493624
103,42759.16568402224,14253.055228007415,4275.916568402225,1425.3055228007415,427.59165684022247
104,42047.04627375142,14015.682091250474,4204.704627375142,1401.5682091250474,420.4704627375142
105,41514.66702772086,13838.222342573621,4151.466702772086,1383.822234257362,415.1466702772086
106,40931.58253152061,13643.860843840204,4093.158253152061,1364.3860843840205,409.3158253152061
107,40167.64371897287,13389.214572990955,4016.7643718972868,1338.9214572990957,401.6764371897287
108,39390.362653784105,13130.1208845947,3939.0362653784105,1313.01208845947,393.90362653784103
109,38773.423252216046,12924.47441740535,3877.342325221605,1292.447441740535,387.7342325221605
110,38349.91984989882,12783.30661663294,3834.9919849898824,1278.330661663294,383.4991984989882
111,38261.05685202722,12753.685617342408,3826.1056852027223,1275.3685617342408,382.61056852027224
112,38032.45787380877,12677.485957936258,3803.245787380877,1267.7485957936258,380.3245787380877
113,38211.90224295012,12737.300747650039,3821.190224295012,1273.730074765004,382.1190224295012
114,38689.41380288893,12896.471267629642,3868.9413802888926,1289.6471267629643,386.89413802888924
115,38881.37414207395,12960.458047357984,3888.137414207395,1296.0458047357984,388.8137414207395
116,38541.518125588584,12847.172708529528,3854.1518125588586,1284.7172708529529,385.41518125588584
117,38502.64741026742,12834.215803422472,3850.264741026742,1283.4215803422471,385.0264741026742
118,38298.879786885365,12766.293262295121,3829.887978688537,1276.6293262295121,382.9887978688537
119,38080.38180935119,12693.460603117064,3808.038180935119,1269.3460603117064,380.8038180935119
120,37931.743551936175,12643.914517312058,3793.1743551936174,1264.3914517312057,379.3174355193617
121,37769.628965195574,12589.876321731857,3776.9628965195575,1258.9876321731858,377.69628965195574
122,37522.83242088144,12507.61080696048,3752.2832420881437,1250.7610806960479,375.2283242088144
123,37247.26238436488,12415.754128121627,3724.726238436488,1241.5754128121628,372.4726238436488
124,37134.039979199784,12378.013326399927,3713.4039979199783,1237.8013326399928,371.3403997919978
125,36887.49137990589,12295.83045996863,3688.749137990589,1229.5830459968631,368.8749137990589
126,37360.43431739194,12453.478105797312,3736.043431739194,1245.3478105797312,373.6043431739194
127,37749.020911659776,12583.006970553259,3774.9020911659777,1258.300697055326,377.4902091165978
128,38329.98969458313,12776.663231527707,3832.9989694583123,1277.666323152771,383.2998969458312
129,38711.870630667596,12903.956876889199,3871.1870630667595,1290.39568768892,387.11870630667596
